"Location","Total","Occupied","Vacant"
"    Gordon town, Alabama","147","133","14"
"Gordonville town, Alabama","","",""
"    Gordonville town, Alabama","118","113","5"
"Goshen town, Alabama","","",""
"    Goshen town, Alabama","134","107","27"
"Graham CDP, Alabama","","",""
"    Graham CDP, Alabama","98","81","17"
"Grand Bay CDP, Alabama","","",""
"    Grand Bay CDP, Alabama","1,463","1,282","181"
"Grant town, Alabama","","",""
"    Grant town, Alabama","417","386","31"
"Grayson Valley CDP, Alabama","","",""
"    Grayson Valley CDP, Alabama","2,517","2,362","155"
"Graysville city, Alabama","","",""
"    Graysville city, Alabama","1,007","860","147"
"Greensboro city, Alabama","","",""
"    Greensboro city, Alabama","1,089","959","130"
"Greenville city, Alabama","","",""
"    Greenville city, Alabama","3,639","3,184","455"
"Grimes town, Alabama","","",""
"    Grimes town, Alabama","237","208","29"
"Grove Hill town, Alabama","","",""
"    Grove Hill town, Alabama","866","741","125"
"Guin city, Alabama","","",""
"    Guin city, Alabama","1,088","947","141"
"Gulfcrest CDP, Alabama","","",""
"    Gulfcrest CDP, Alabama","61","57","4"
"Gulf Shores city, Alabama","","",""
"    Gulf Shores city, Alabama","13,682","6,847","6,835"
"Guntersville city, Alabama","","",""
"    Guntersville city, Alabama","4,126","3,628","498"
"Gurley town, Alabama","","",""
"    Gurley town, Alabama","366","314","52"
"Gu-Win town, Alabama","","",""
"    Gu-Win town, Alabama","66","66","0"
"Hackleburg town, Alabama","","",""
"    Hackleburg town, Alabama","697","634","63"
"Hackneyville CDP, Alabama","","",""
"    Hackneyville CDP, Alabama","166","143","23"
"Haleburg town, Alabama","","",""
"    Haleburg town, Alabama","61","50","11"
"Haleyville city, Alabama","","",""
"    Haleyville city, Alabama","2,098","1,808","290"
"Hamilton city, Alabama","","",""
"    Hamilton city, Alabama","3,105","2,795","310"
"Hammondville town, Alabama","","",""
"    Hammondville town, Alabama","204","163","41"
"Hanceville city, Alabama","","",""
"    Hanceville city, Alabama","1,451","1,263","188"
"Hanover CDP, Alabama","","",""
"    Hanover CDP, Alabama","81","58","23"
"Harpersville town, Alabama","","",""
"    Harpersville town, Alabama","689","632","57"
"Hartford city, Alabama","","",""
"    Hartford city, Alabama","1,207","1,096","111"
"Hartselle city, Alabama","","",""
"    Hartselle city, Alabama","6,573","6,146","427"
"Harvest CDP, Alabama","","",""
"    Harvest CDP, Alabama","2,263","2,155","108"
"Hatton CDP, Alabama","","",""
"    Hatton CDP, Alabama","109","90","19"
"Hayden town, Alabama","","",""
"    Hayden town, Alabama","547","504","43"
"Hayneville town, Alabama","","",""
"    Hayneville town, Alabama","377","347","30"
"Hazel Green CDP, Alabama","","",""
"    Hazel Green CDP, Alabama","1,656","1,596","60"
"Headland city, Alabama","","",""
"    Headland city, Alabama","2,157","1,990","167"
"Heath town, Alabama","","",""
"    Heath town, Alabama","114","109","5"
"Heflin city, Alabama","","",""
"    Heflin city, Alabama","1,621","1,400","221"
"Helena city, Alabama","","",""
"    Helena city, Alabama","7,447","7,281","166"
"Henagar city, Alabama","","",""
"    Henagar city, Alabama","1,087","933","154"
"Highland Lake town, Alabama","","",""
"    Highland Lake town, Alabama","253","187","66"
"Highland Lakes CDP, Alabama","","",""
"    Highland Lakes CDP, Alabama","1,928","1,873","55"
"Hillsboro town, Alabama","","",""
"    Hillsboro town, Alabama","226","192","34"
"Hissop CDP, Alabama","","",""
"    Hissop CDP, Alabama","118","90","28"
"Hobson CDP, Alabama","","",""
"    Hobson CDP, Alabama","46","38","8"
"Hobson City town, Alabama","","",""
"    Hobson City town, Alabama","361","302","59"
"Hodges town, Alabama","","",""
"    Hodges town, Alabama","129","106","23"
"Hokes Bluff city, Alabama","","",""
"    Hokes Bluff city, Alabama","1,926","1,789","137"
"Hollins CDP, Alabama","","",""
"    Hollins CDP, Alabama","254","211","43"
"Hollis Crossroads CDP, Alabama","","",""
"    Hollis Crossroads CDP, Alabama","278","252","26"
"Holly Pond town, Alabama","","",""
"    Holly Pond town, Alabama","362","323","39"
"Hollywood town, Alabama","","",""
"    Hollywood town, Alabama","439","386","53"
"Holt CDP, Alabama","","",""
"    Holt CDP, Alabama","1,554","1,295","259"
"Holtville CDP, Alabama","","",""
"    Holtville CDP, Alabama","2,116","1,871","245"
"Homewood city, Alabama","","",""
"    Homewood city, Alabama","10,942","9,770","1,172"
"Hoover city, Alabama","","",""
"    Hoover city, Alabama","39,008","36,799","2,209"
"Horn Hill town, Alabama","","",""
"    Horn Hill town, Alabama","109","87","22"
"Hueytown city, Alabama","","",""
"    Hueytown city, Alabama","7,128","6,545","583"
"Huguley CDP, Alabama","","",""
"    Huguley CDP, Alabama","1,129","1,007","122"
"Huntsville city, Alabama","","",""
"    Huntsville city, Alabama","100,391","92,074","8,317"
"Hurtsboro town, Alabama","","",""
"    Hurtsboro town, Alabama","261","174","87"
"Hytop town, Alabama","","",""
"    Hytop town, Alabama","195","170","25"
"Ider town, Alabama","","",""
"    Ider town, Alabama","348","317","31"
"Indian Springs Village city, Alabama","","",""
"    Indian Springs Village city, Alabama","953","906","47"
"Irondale city, Alabama","","",""
"    Irondale city, Alabama","6,319","5,874","445"
"Ivalee CDP, Alabama","","",""
"    Ivalee CDP, Alabama","448","385","63"
"Jackson city, Alabama","","",""
"    Jackson city, Alabama","2,331","2,026","305"
"Jacksons' Gap town, Alabama","","",""
"    Jacksons' Gap town, Alabama","361","299","62"
"Jacksonville city, Alabama","","",""
"    Jacksonville city, Alabama","5,806","4,823","983"
"Jasper city, Alabama","","",""
"    Jasper city, Alabama","6,300","5,705","595"
"Jemison city, Alabama","","",""
"    Jemison city, Alabama","1,123","1,037","86"
"Joppa CDP, Alabama","","",""
"    Joppa CDP, Alabama","224","211","13"
"Kansas town, Alabama","","",""
"    Kansas town, Alabama","88","82","6"
