"Location","Total","Occupied","Vacant"
"    McKeesport city, Pennsylvania","8,965","7,595","1,370"
"McKees Rocks borough, Pennsylvania","","",""
"    McKees Rocks borough, Pennsylvania","3,195","2,708","487"
"McKinley CDP, Pennsylvania","","",""
"    McKinley CDP, Pennsylvania","1,206","1,171","35"
"McKnightstown CDP, Pennsylvania","","",""
"    McKnightstown CDP, Pennsylvania","172","163","9"
"McMurray CDP, Pennsylvania","","",""
"    McMurray CDP, Pennsylvania","1,730","1,659","71"
"McSherrystown borough, Pennsylvania","","",""
"    McSherrystown borough, Pennsylvania","1,382","1,319","63"
"Macungie borough, Pennsylvania","","",""
"    Macungie borough, Pennsylvania","1,520","1,468","52"
"McVeytown borough, Pennsylvania","","",""
"    McVeytown borough, Pennsylvania","160","141","19"
"Madison borough, Pennsylvania","","",""
"    Madison borough, Pennsylvania","165","159","6"
"Madisonburg CDP, Pennsylvania","","",""
"    Madisonburg CDP, Pennsylvania","81","75","6"
"Mahaffey borough, Pennsylvania","","",""
"    Mahaffey borough, Pennsylvania","156","130","26"
"Mahanoy City borough, Pennsylvania","","",""
"    Mahanoy City borough, Pennsylvania","2,195","1,482","713"
"Mainville CDP, Pennsylvania","","",""
"    Mainville CDP, Pennsylvania","59","59","0"
"Maitland CDP, Pennsylvania","","",""
"    Maitland CDP, Pennsylvania","155","125","30"
"Malvern borough, Pennsylvania","","",""
"    Malvern borough, Pennsylvania","1,657","1,565","92"
"Mammoth CDP, Pennsylvania","","",""
"    Mammoth CDP, Pennsylvania","242","199","43"
"Manchester borough, Pennsylvania","","",""
"    Manchester borough, Pennsylvania","1,231","1,178","53"
"Manheim borough, Pennsylvania","","",""
"    Manheim borough, Pennsylvania","2,137","2,039","98"
"Manns Choice borough, Pennsylvania","","",""
"    Manns Choice borough, Pennsylvania","144","133","11"
"undefined","","",""
"    Manor borough, Pennsylvania","1,425","1,359","66"
"Manorville borough, Pennsylvania","","",""
"    Manorville borough, Pennsylvania","178","168","10"
"Mansfield borough, Pennsylvania","","",""
"    Mansfield borough, Pennsylvania","1,099","940","159"
"Maple Glen CDP, Pennsylvania","","",""
"    Maple Glen CDP, Pennsylvania","2,389","2,341","48"
"Mapleton borough, Pennsylvania","","",""
"    Mapleton borough, Pennsylvania","176","160","16"
"Mapletown CDP, Pennsylvania","","",""
"    Mapletown CDP, Pennsylvania","60","45","15"
"Marcus Hook borough, Pennsylvania","","",""
"    Marcus Hook borough, Pennsylvania","1,073","942","131"
"Marianna borough, Pennsylvania","","",""
"    Marianna borough, Pennsylvania","247","175","72"
"Marianne CDP, Pennsylvania","","",""
"    Marianne CDP, Pennsylvania","478","435","43"
"Marienville CDP, Pennsylvania","","",""
"    Marienville CDP, Pennsylvania","596","360","236"
"Marietta borough, Pennsylvania","","",""
"    Marietta borough, Pennsylvania","1,230","1,169","61"
"Marion CDP, Pennsylvania","","",""
"    Marion CDP, Pennsylvania","372","359","13"
"Marion Center borough, Pennsylvania","","",""
"    Marion Center borough, Pennsylvania","182","164","18"
"Marion Heights borough, Pennsylvania","","",""
"    Marion Heights borough, Pennsylvania","314","257","57"
"Marklesburg borough, Pennsylvania","","",""
"    Marklesburg borough, Pennsylvania","138","86","52"
"Markleysburg borough, Pennsylvania","","",""
"    Markleysburg borough, Pennsylvania","95","79","16"
"Marlin CDP, Pennsylvania","","",""
"    Marlin CDP, Pennsylvania","130","126","4"
"Mars borough, Pennsylvania","","",""
"    Mars borough, Pennsylvania","715","625","90"
"Marshallton CDP (Chester County), Pennsylvania","","",""
"    Marshallton CDP (Chester County), Pennsylvania","211","192","19"
"Marshallton CDP (Northumberland County), Pennsylvania","","",""
"    Marshallton CDP (Northumberland County), Pennsylvania","694","577","117"
"Martinsburg borough, Pennsylvania","","",""
"    Martinsburg borough, Pennsylvania","840","786","54"
"Martinsburg Junction CDP, Pennsylvania","","",""
"    Martinsburg Junction CDP, Pennsylvania","12","12","0"
"Martins Creek CDP, Pennsylvania","","",""
"    Martins Creek CDP, Pennsylvania","308","272","36"
"Marysville borough, Pennsylvania","","",""
"    Marysville borough, Pennsylvania","1,245","1,169","76"
"Masontown borough, Pennsylvania","","",""
"    Masontown borough, Pennsylvania","1,606","1,414","192"
"Masthope CDP, Pennsylvania","","",""
"    Masthope CDP, Pennsylvania","1,461","301","1,160"
"Matamoras borough, Pennsylvania","","",""
"    Matamoras borough, Pennsylvania","1,024","960","64"
"Mather CDP, Pennsylvania","","",""
"    Mather CDP, Pennsylvania","310","272","38"
"Mattawana CDP, Pennsylvania","","",""
"    Mattawana CDP, Pennsylvania","98","79","19"
"Maxatawny CDP, Pennsylvania","","",""
"    Maxatawny CDP, Pennsylvania","55","55","0"
"Mayfield borough, Pennsylvania","","",""
"    Mayfield borough, Pennsylvania","821","758","63"
"Maytown CDP, Pennsylvania","","",""
"    Maytown CDP, Pennsylvania","1,475","1,439","36"
"Meadowlands CDP, Pennsylvania","","",""
"    Meadowlands CDP, Pennsylvania","429","391","38"
"Meadowood CDP, Pennsylvania","","",""
"    Meadowood CDP, Pennsylvania","1,121","1,068","53"
"Meadville city, Pennsylvania","","",""
"    Meadville city, Pennsylvania","6,009","5,330","679"
"Mechanicsburg borough, Pennsylvania","","",""
"    Mechanicsburg borough, Pennsylvania","4,253","4,039","214"
"Mechanicsville borough, Pennsylvania","","",""
"    Mechanicsville borough, Pennsylvania","217","197","20"
"Media borough, Pennsylvania","","",""
"    Media borough, Pennsylvania","3,329","3,150","179"
"Mercer borough, Pennsylvania","","",""
"    Mercer borough, Pennsylvania","1,054","942","112"
"Mercersburg borough, Pennsylvania","","",""
"    Mercersburg borough, Pennsylvania","739","645","94"
"Meridian CDP, Pennsylvania","","",""
"    Meridian CDP, Pennsylvania","1,609","1,521","88"
"Merion Station CDP, Pennsylvania","","",""
"    Merion Station CDP, Pennsylvania","1,852","1,776","76"
"Mertztown CDP, Pennsylvania","","",""
"    Mertztown CDP, Pennsylvania","267","238","29"
"Meshoppen borough, Pennsylvania","","",""
"    Meshoppen borough, Pennsylvania","167","129","38"
"Messiah College CDP, Pennsylvania","","",""
"    Messiah College CDP, Pennsylvania","161","25","136"
"Mexico CDP, Pennsylvania","","",""
"    Mexico CDP, Pennsylvania","194","180","14"
"Meyersdale borough, Pennsylvania","","",""
"    Meyersdale borough, Pennsylvania","1,034","903","131"
"Middleburg borough, Pennsylvania","","",""
"    Middleburg borough, Pennsylvania","604","553","51"
"Middleport borough, Pennsylvania","","",""
"    Middleport borough, Pennsylvania","196","160","36"
"Middletown borough, Pennsylvania","","",""
"    Middletown borough, Pennsylvania","4,514","4,158","356"
"Middletown CDP, Pennsylvania","","",""
"    Middletown CDP, Pennsylvania","3,053","2,958","95"
"Midland borough, Pennsylvania","","",""
"    Midland borough, Pennsylvania","1,336","1,130","206"
"Midway CDP, Pennsylvania","","",""
"    Midway CDP, Pennsylvania","480","456","24"
"Midway borough, Pennsylvania","","",""
"    Midway borough, Pennsylvania","431","378","53"
"Mifflin borough, Pennsylvania","","",""
"    Mifflin borough, Pennsylvania","234","190","44"
"Mifflinburg borough, Pennsylvania","","",""
"    Mifflinburg borough, Pennsylvania","1,641","1,532","109"
"Mifflintown borough, Pennsylvania","","",""
"    Mifflintown borough, Pennsylvania","401","352","49"
"Mifflinville CDP, Pennsylvania","","",""
"    Mifflinville CDP, Pennsylvania","549","523","26"
"Milesburg borough, Pennsylvania","","",""
"    Milesburg borough, Pennsylvania","474","437","37"
"Milford borough, Pennsylvania","","",""
"    Milford borough, Pennsylvania","665","557","108"
"Milford Square CDP, Pennsylvania","","",""
"    Milford Square CDP, Pennsylvania","436","434","2"
"Millbourne borough, Pennsylvania","","",""
"    Millbourne borough, Pennsylvania","450","411","39"
"Mill Creek borough, Pennsylvania","","",""
"    Mill Creek borough, Pennsylvania","128","125","3"
"Millersburg borough, Pennsylvania","","",""
"    Millersburg borough, Pennsylvania","1,335","1,199","136"
"Millerstown CDP, Pennsylvania","","",""
"    Millerstown CDP, Pennsylvania","7","7","0"
"Millerstown borough, Pennsylvania","","",""
"    Millerstown borough, Pennsylvania","294","275","19"
"Millersville borough, Pennsylvania","","",""
"    Millersville borough, Pennsylvania","2,669","2,513","156"
"Millerton CDP, Pennsylvania","","",""
"    Millerton CDP, Pennsylvania","160","145","15"
"Mill Hall borough, Pennsylvania","","",""
"    Mill Hall borough, Pennsylvania","728","645","83"
"Millheim borough, Pennsylvania","","",""
"    Millheim borough, Pennsylvania","409","369","40"
"Mill Run CDP, Pennsylvania","","",""
"    Mill Run CDP, Pennsylvania","98","82","16"
"Millsboro CDP, Pennsylvania","","",""
"    Millsboro CDP, Pennsylvania","284","231","53"
"Millvale borough, Pennsylvania","","",""
"    Millvale borough, Pennsylvania","2,038","1,759","279"
"Mill Village borough, Pennsylvania","","",""
"    Mill Village borough, Pennsylvania","166","151","15"
"Millville borough, Pennsylvania","","",""
"    Millville borough, Pennsylvania","445","403","42"
"Millwood CDP, Pennsylvania","","",""
"    Millwood CDP, Pennsylvania","234","215","19"
"Milroy CDP, Pennsylvania","","",""
"    Milroy CDP, Pennsylvania","731","677","54"
"Milton borough, Pennsylvania","","",""
"    Milton borough, Pennsylvania","3,104","2,838","266"
"Minersville borough, Pennsylvania","","",""
"    Minersville borough, Pennsylvania","2,269","1,941","328"
"Mingoville CDP, Pennsylvania","","",""
"    Mingoville CDP, Pennsylvania","222","204","18"
"Misericordia University CDP, Pennsylvania","","",""
"    Misericordia University CDP, Pennsylvania","41","37","4"
"Mocanaqua CDP, Pennsylvania","","",""
"    Mocanaqua CDP, Pennsylvania","283","242","41"
"Modena borough, Pennsylvania","","",""
"    Modena borough, Pennsylvania","218","202","16"
"Mohnton borough, Pennsylvania","","",""
"    Mohnton borough, Pennsylvania","1,322","1,239","83"
"Mohrsville CDP, Pennsylvania","","",""
"    Mohrsville CDP, Pennsylvania","207","190","17"
"Monaca borough, Pennsylvania","","",""
"    Monaca borough, Pennsylvania","2,824","2,606","218"
"Monessen city, Pennsylvania","","",""
"    Monessen city, Pennsylvania","3,919","3,175","744"
"Monongahela city, Pennsylvania","","",""
"    Monongahela city, Pennsylvania","2,244","1,962","282"
"Monroe borough, Pennsylvania","","",""
"    Monroe borough, Pennsylvania","221","207","14"
"Monroeville municipality, Pennsylvania","","",""
"    Monroeville municipality, Pennsylvania","13,609","12,823","786"
"Mont Alto borough, Pennsylvania","","",""
"    Mont Alto borough, Pennsylvania","690","641","49"
"Montandon CDP, Pennsylvania","","",""
"    Montandon CDP, Pennsylvania","403","376","27"
"Mont Clare CDP, Pennsylvania","","",""
"    Mont Clare CDP, Pennsylvania","888","854","34"
"Montgomery borough, Pennsylvania","","",""
"    Montgomery borough, Pennsylvania","656","598","58"
"Montgomeryville CDP, Pennsylvania","","",""
"    Montgomeryville CDP, Pennsylvania","4,770","4,666","104"
"Montoursville borough, Pennsylvania","","",""
"    Montoursville borough, Pennsylvania","2,238","2,115","123"
"Montrose borough, Pennsylvania","","",""
"    Montrose borough, Pennsylvania","731","633","98"
"Montrose Manor CDP, Pennsylvania","","",""
"    Montrose Manor CDP, Pennsylvania","291","267","24"
"Monument CDP, Pennsylvania","","",""
"    Monument CDP, Pennsylvania","55","52","3"
"Moores Mill CDP, Pennsylvania","","",""
"    Moores Mill CDP, Pennsylvania","24","24","0"
"Moose Run CDP, Pennsylvania","","",""
"    Moose Run CDP, Pennsylvania","79","70","9"
"Moosic borough, Pennsylvania","","",""
"    Moosic borough, Pennsylvania","2,895","2,636","259"
"Morea CDP, Pennsylvania","","",""
"    Morea CDP, Pennsylvania","115","94","21"
"Morgan Hill CDP, Pennsylvania","","",""
"    Morgan Hill CDP, Pennsylvania","551","516","35"
"Morgantown CDP, Pennsylvania","","",""
"    Morgantown CDP, Pennsylvania","717","702","15"
"Morrisdale CDP, Pennsylvania","","",""
"    Morrisdale CDP, Pennsylvania","329","321","8"
"Morrisville borough, Pennsylvania","","",""
"    Morrisville borough, Pennsylvania","4,266","4,053","213"
"Morrisville CDP, Pennsylvania","","",""
"    Morrisville CDP, Pennsylvania","690","619","71"
"Morton borough, Pennsylvania","","",""
"    Morton borough, Pennsylvania","1,227","1,155","72"
"Moscow borough, Pennsylvania","","",""
"    Moscow borough, Pennsylvania","906","836","70"
"Moshannon CDP, Pennsylvania","","",""
"    Moshannon CDP, Pennsylvania","108","94","14"
"Mount Aetna CDP, Pennsylvania","","",""
"    Mount Aetna CDP, Pennsylvania","196","186","10"
"Mountainhome CDP, Pennsylvania","","",""
"    Mountainhome CDP, Pennsylvania","578","503","75"
"Mountain Top CDP, Pennsylvania","","",""
"    Mountain Top CDP, Pennsylvania","4,632","4,397","235"
"Mount Carbon borough, Pennsylvania","","",""
"    Mount Carbon borough, Pennsylvania","48","39","9"
"Mount Carmel borough, Pennsylvania","","",""
"    Mount Carmel borough, Pennsylvania","3,389","2,563","826"
"Mount Cobb CDP, Pennsylvania","","",""
"    Mount Cobb CDP, Pennsylvania","838","723","115"
"Mount Eagle CDP, Pennsylvania","","",""
"    Mount Eagle CDP, Pennsylvania","47","32","15"
"Mount Gretna borough, Pennsylvania","","",""
"    Mount Gretna borough, Pennsylvania","202","108","94"
"Mount Gretna Heights CDP, Pennsylvania","","",""
"    Mount Gretna Heights CDP, Pennsylvania","273","151","122"
"Mount Holly Springs borough, Pennsylvania","","",""
"    Mount Holly Springs borough, Pennsylvania","922","862","60"
"Mount Jewett borough, Pennsylvania","","",""
"    Mount Jewett borough, Pennsylvania","440","375","65"
"Mount Joy borough, Pennsylvania","","",""
"    Mount Joy borough, Pennsylvania","3,748","3,584","164"
"Mount Morris CDP, Pennsylvania","","",""
"    Mount Morris CDP, Pennsylvania","320","293","27"
"Mount Oliver borough, Pennsylvania","","",""
"    Mount Oliver borough, Pennsylvania","1,765","1,475","290"
"Mount Penn borough, Pennsylvania","","",""
"    Mount Penn borough, Pennsylvania","1,366","1,300","66"
"Mount Pleasant borough, Pennsylvania","","",""
"    Mount Pleasant borough, Pennsylvania","2,194","1,980","214"
"Mount Pleasant Mills CDP, Pennsylvania","","",""
"    Mount Pleasant Mills CDP, Pennsylvania","239","213","26"
"Mount Pocono borough, Pennsylvania","","",""
"    Mount Pocono borough, Pennsylvania","1,448","1,255","193"
"Mount Union borough, Pennsylvania","","",""
"    Mount Union borough, Pennsylvania","1,208","1,030","178"
"Mountville borough, Pennsylvania","","",""
"    Mountville borough, Pennsylvania","1,297","1,265","32"
"Mount Wolf borough, Pennsylvania","","",""
"    Mount Wolf borough, Pennsylvania","575","555","20"
"Muhlenberg Park CDP, Pennsylvania","","",""
"    Muhlenberg Park CDP, Pennsylvania","641","631","10"
"Muir CDP, Pennsylvania","","",""
"    Muir CDP, Pennsylvania","189","169","20"
"Muncy borough, Pennsylvania","","",""
"    Muncy borough, Pennsylvania","1,168","1,056","112"
"Mundys Corner CDP, Pennsylvania","","",""
"    Mundys Corner CDP, Pennsylvania","711","666","45"
"Munhall borough, Pennsylvania","","",""
"    Munhall borough, Pennsylvania","5,824","5,139","685"
"Murrysville municipality, Pennsylvania","","",""
"    Murrysville municipality, Pennsylvania","8,737","8,323","414"
"Muse CDP, Pennsylvania","","",""
"    Muse CDP, Pennsylvania","971","926","45"
"Myerstown borough, Pennsylvania","","",""
"    Myerstown borough, Pennsylvania","1,372","1,274","98"
"Nanticoke city, Pennsylvania","","",""
"    Nanticoke city, Pennsylvania","5,370","4,665","705"
"Nanty-Glo borough, Pennsylvania","","",""
"    Nanty-Glo borough, Pennsylvania","1,253","1,083","170"
"Naomi CDP, Pennsylvania","","",""
"    Naomi CDP, Pennsylvania","34","26","8"
"Narberth borough, Pennsylvania","","",""
"    Narberth borough, Pennsylvania","2,016","1,916","100"
"Nazareth borough, Pennsylvania","","",""
"    Nazareth borough, Pennsylvania","3,007","2,806","201"
"Nealmont CDP, Pennsylvania","","",""
"    Nealmont CDP, Pennsylvania","27","24","3"
"Needmore CDP, Pennsylvania","","",""
"    Needmore CDP, Pennsylvania","71","57","14"
"Nemacolin CDP, Pennsylvania","","",""
"    Nemacolin CDP, Pennsylvania","412","358","54"
"Nescopeck borough, Pennsylvania","","",""
"    Nescopeck borough, Pennsylvania","735","676","59"
"Nesquehoning borough, Pennsylvania","","",""
"    Nesquehoning borough, Pennsylvania","1,626","1,358","268"
"New Albany borough, Pennsylvania","","",""
"    New Albany borough, Pennsylvania","123","101","22"
"New Alexandria borough, Pennsylvania","","",""
"    New Alexandria borough, Pennsylvania","257","245","12"
"New Baltimore borough, Pennsylvania","","",""
"    New Baltimore borough, Pennsylvania","74","62","12"
"New Beaver borough, Pennsylvania","","",""
"    New Beaver borough, Pennsylvania","655","610","45"
"New Bedford CDP, Pennsylvania","","",""
"    New Bedford CDP, Pennsylvania","374","340","34"
"New Berlin borough, Pennsylvania","","",""
"    New Berlin borough, Pennsylvania","349","321","28"
"New Berlinville CDP, Pennsylvania","","",""
"    New Berlinville CDP, Pennsylvania","598","575","23"
"New Bethlehem borough, Pennsylvania","","",""
"    New Bethlehem borough, Pennsylvania","524","472","52"
"New Boston CDP, Pennsylvania","","",""
"    New Boston CDP, Pennsylvania","122","101","21"
"New Brighton borough, Pennsylvania","","",""
"    New Brighton borough, Pennsylvania","2,886","2,616","270"
"New Britain borough, Pennsylvania","","",""
"    New Britain borough, Pennsylvania","926","878","48"
"New Buffalo borough, Pennsylvania","","",""
"    New Buffalo borough, Pennsylvania","62","62","0"
"Newburg CDP, Pennsylvania","","",""
"    Newburg CDP, Pennsylvania","155","145","10"
"Newburg borough (Clearfield County), Pennsylvania","","",""
"    Newburg borough (Clearfield County), Pennsylvania","52","37","15"
"Newburg borough (Cumberland County), Pennsylvania","","",""
"    Newburg borough (Cumberland County), Pennsylvania","152","136","16"
"New Castle city, Pennsylvania","","",""
"    New Castle city, Pennsylvania","10,650","9,338","1,312"
"New Castle Northwest CDP, Pennsylvania","","",""
"    New Castle Northwest CDP, Pennsylvania","720","658","62"
"New Centerville borough, Pennsylvania","","",""
"    New Centerville borough, Pennsylvania","62","56","6"
"New Columbia CDP, Pennsylvania","","",""
"    New Columbia CDP, Pennsylvania","450","419","31"
"New Columbus borough, Pennsylvania","","",""
"    New Columbus borough, Pennsylvania","93","89","4"
"New Cumberland borough, Pennsylvania","","",""
"    New Cumberland borough, Pennsylvania","3,493","3,299","194"
"New Eagle borough, Pennsylvania","","",""
"    New Eagle borough, Pennsylvania","1,061","954","107"
"Newell borough, Pennsylvania","","",""
"    Newell borough, Pennsylvania","230","202","28"
"New Florence borough, Pennsylvania","","",""
"    New Florence borough, Pennsylvania","321","280","41"
"New Freedom borough, Pennsylvania","","",""
"    New Freedom borough, Pennsylvania","1,882","1,830","52"
"New Freeport CDP, Pennsylvania","","",""
"    New Freeport CDP, Pennsylvania","33","31","2"
"New Galilee borough, Pennsylvania","","",""
"    New Galilee borough, Pennsylvania","168","151","17"
"New Holland borough, Pennsylvania","","",""
"    New Holland borough, Pennsylvania","2,408","2,310","98"
"New Hope borough, Pennsylvania","","",""
"    New Hope borough, Pennsylvania","1,481","1,336","145"
"New Jerusalem CDP, Pennsylvania","","",""
"    New Jerusalem CDP, Pennsylvania","235","228","7"
"New Kensington city, Pennsylvania","","",""
"    New Kensington city, Pennsylvania","6,607","5,755","852"
"New Kingstown CDP, Pennsylvania","","",""
"    New Kingstown CDP, Pennsylvania","303","286","17"
"New Lebanon borough, Pennsylvania","","",""
"    New Lebanon borough, Pennsylvania","82","70","12"
"Newmanstown CDP, Pennsylvania","","",""
"    Newmanstown CDP, Pennsylvania","1,133","1,090","43"
"New Market CDP, Pennsylvania","","",""
"    New Market CDP, Pennsylvania","410","400","10"
"New Milford borough, Pennsylvania","","",""
"    New Milford borough, Pennsylvania","421","360","61"
"New Morgan borough, Pennsylvania","","",""
"    New Morgan borough, Pennsylvania","10","10","0"
"New Oxford borough, Pennsylvania","","",""
"    New Oxford borough, Pennsylvania","822","761","61"
"New Paris borough, Pennsylvania","","",""
"    New Paris borough, Pennsylvania","79","75","4"
"New Philadelphia borough, Pennsylvania","","",""
"    New Philadelphia borough, Pennsylvania","552","458","94"
"Newport borough, Pennsylvania","","",""
"    Newport borough, Pennsylvania","712","630","82"
"New Ringgold borough, Pennsylvania","","",""
"    New Ringgold borough, Pennsylvania","121","111","10"
"Newry borough, Pennsylvania","","",""
"    Newry borough, Pennsylvania","106","102","4"
"New Salem CDP, Pennsylvania","","",""
"    New Salem CDP, Pennsylvania","249","236","13"
"New Salem borough, Pennsylvania","","",""
"    New Salem borough, Pennsylvania","339","317","22"
"New Schaefferstown CDP, Pennsylvania","","",""
"    New Schaefferstown CDP, Pennsylvania","85","64","21"
"New Stanton borough, Pennsylvania","","",""
"    New Stanton borough, Pennsylvania","1,129","1,047","82"
"Newton Hamilton borough, Pennsylvania","","",""
"    Newton Hamilton borough, Pennsylvania","94","92","2"
"Newtown borough, Pennsylvania","","",""
"    Newtown borough, Pennsylvania","1,055","982","73"
"Newtown CDP, Pennsylvania","","",""
"    Newtown CDP, Pennsylvania","107","106","1"
"Newtown Grant CDP, Pennsylvania","","",""
"    Newtown Grant CDP, Pennsylvania","2,285","2,236","49"
"New Tripoli CDP, Pennsylvania","","",""
"    New Tripoli CDP, Pennsylvania","358","335","23"
"Newville borough, Pennsylvania","","",""
"    Newville borough, Pennsylvania","643","574","69"
"New Washington borough, Pennsylvania","","",""
"    New Washington borough, Pennsylvania","29","29","0"
"New Wilmington borough, Pennsylvania","","",""
"    New Wilmington borough, Pennsylvania","643","546","97"
"Nicholson borough, Pennsylvania","","",""
"    Nicholson borough, Pennsylvania","337","290","47"
"Nittany CDP, Pennsylvania","","",""
"    Nittany CDP, Pennsylvania","283","274","9"
"Nixon CDP, Pennsylvania","","",""
"    Nixon CDP, Pennsylvania","535","512","23"
"Noblestown CDP, Pennsylvania","","",""
"    Noblestown CDP, Pennsylvania","320","314","6"
"Norristown borough, Pennsylvania","","",""
"    Norristown borough, Pennsylvania","13,974","12,669","1,305"
"Northampton borough, Pennsylvania","","",""
"    Northampton borough, Pennsylvania","4,523","4,321","202"
"North Apollo borough, Pennsylvania","","",""
"    North Apollo borough, Pennsylvania","597","543","54"
"North Belle Vernon borough, Pennsylvania","","",""
"    North Belle Vernon borough, Pennsylvania","956","850","106"
"North Bend CDP, Pennsylvania","","",""
"    North Bend CDP, Pennsylvania","189","139","50"
"North Braddock borough, Pennsylvania","","",""
"    North Braddock borough, Pennsylvania","2,418","2,030","388"
"North Catasauqua borough, Pennsylvania","","",""
"    North Catasauqua borough, Pennsylvania","1,251","1,208","43"
"North Charleroi borough, Pennsylvania","","",""
"    North Charleroi borough, Pennsylvania","709","594","115"
"North East borough, Pennsylvania","","",""
"    North East borough, Pennsylvania","1,800","1,692","108"
"Northern Cambria borough, Pennsylvania","","",""
"    Northern Cambria borough, Pennsylvania","1,760","1,545","215"
"North Irwin borough, Pennsylvania","","",""
"    North Irwin borough, Pennsylvania","393","365","28"
"North Philipsburg CDP, Pennsylvania","","",""
"    North Philipsburg CDP, Pennsylvania","321","300","21"
"Northumberland borough, Pennsylvania","","",""
"    Northumberland borough, Pennsylvania","1,873","1,727","146"
"North Vandergrift CDP, Pennsylvania","","",""
"    North Vandergrift CDP, Pennsylvania","204","187","17"
"North Wales borough, Pennsylvania","","",""
"    North Wales borough, Pennsylvania","1,370","1,312","58"
"North Warren CDP, Pennsylvania","","",""
"    North Warren CDP, Pennsylvania","813","719","94"
"Northwest Harborcreek CDP, Pennsylvania","","",""
"    Northwest Harborcreek CDP, Pennsylvania","3,738","3,554","184"
"Northwood CDP, Pennsylvania","","",""
"    Northwood CDP, Pennsylvania","133","115","18"
"North York borough, Pennsylvania","","",""
"    North York borough, Pennsylvania","951","878","73"
"Norvelt CDP, Pennsylvania","","",""
"    Norvelt CDP, Pennsylvania","401","371","30"
"Norwood borough, Pennsylvania","","",""
"    Norwood borough, Pennsylvania","2,422","2,315","107"
"Nottingham CDP, Pennsylvania","","",""
"    Nottingham CDP, Pennsylvania","466","443","23"
"Noxen CDP, Pennsylvania","","",""
"    Noxen CDP, Pennsylvania","303","272","31"
"Nuangola borough, Pennsylvania","","",""
"    Nuangola borough, Pennsylvania","400","283","117"
"Numidia CDP, Pennsylvania","","",""
"    Numidia CDP, Pennsylvania","123","117","6"
"Nuremberg CDP, Pennsylvania","","",""
"    Nuremberg CDP, Pennsylvania","202","151","51"
"Oakdale borough, Pennsylvania","","",""
"    Oakdale borough, Pennsylvania","691","645","46"
"Oak Hills CDP, Pennsylvania","","",""
"    Oak Hills CDP, Pennsylvania","1,080","1,039","41"
"Oakland CDP (Cambria County), Pennsylvania","","",""
"    Oakland CDP (Cambria County), Pennsylvania","799","739","60"
"Oakland CDP (Lawrence County), Pennsylvania","","",""
"    Oakland CDP (Lawrence County), Pennsylvania","660","596","64"
"Oakland borough, Pennsylvania","","",""
"    Oakland borough, Pennsylvania","238","222","16"
"Oakmont borough, Pennsylvania","","",""
"    Oakmont borough, Pennsylvania","3,534","3,288","246"
"Oakwood CDP, Pennsylvania","","",""
"    Oakwood CDP, Pennsylvania","1,009","937","72"
"Oberlin CDP, Pennsylvania","","",""
"    Oberlin CDP, Pennsylvania","247","229","18"
"Ohiopyle borough, Pennsylvania","","",""
"    Ohiopyle borough, Pennsylvania","32","23","9"
"Ohioville borough, Pennsylvania","","",""
"    Ohioville borough, Pennsylvania","1,503","1,396","107"
"Oil City city, Pennsylvania","","",""
"    Oil City city, Pennsylvania","4,971","4,198","773"
"Oklahoma CDP, Pennsylvania","","",""
"    Oklahoma CDP, Pennsylvania","311","285","26"
"Oklahoma borough, Pennsylvania","","",""
"    Oklahoma borough, Pennsylvania","379","346","33"
"Old Forge borough, Pennsylvania","","",""
"    Old Forge borough, Pennsylvania","4,125","3,783","342"
"Old Orchard CDP, Pennsylvania","","",""
"    Old Orchard CDP, Pennsylvania","942","923","19"
"Oley CDP, Pennsylvania","","",""
"    Oley CDP, Pennsylvania","563","542","21"
"Oliver CDP, Pennsylvania","","",""
"    Oliver CDP, Pennsylvania","1,215","1,069","146"
"Olivia CDP, Pennsylvania","","",""
"    Olivia CDP, Pennsylvania","31","31","0"
"Olyphant borough, Pennsylvania","","",""
"    Olyphant borough, Pennsylvania","2,633","2,410","223"
"Oneida CDP, Pennsylvania","","",""
"    Oneida CDP, Pennsylvania","140","110","30"
"Orangeville borough, Pennsylvania","","",""
"    Orangeville borough, Pennsylvania","153","127","26"
"Orbisonia borough, Pennsylvania","","",""
"    Orbisonia borough, Pennsylvania","215","193","22"
"Orchard Hills CDP, Pennsylvania","","",""
"    Orchard Hills CDP, Pennsylvania","875","822","53"
"Ore Hill CDP, Pennsylvania","","",""
"    Ore Hill CDP, Pennsylvania","48","41","7"
"Oreland CDP, Pennsylvania","","",""
"    Oreland CDP, Pennsylvania","2,317","2,267","50"
"Oreminea CDP, Pennsylvania","","",""
"    Oreminea CDP, Pennsylvania","29","27","2"
"Orrstown borough, Pennsylvania","","",""
"    Orrstown borough, Pennsylvania","91","79","12"
"Orrtanna CDP, Pennsylvania","","",""
"    Orrtanna CDP, Pennsylvania","76","74","2"
"Orviston CDP, Pennsylvania","","",""
"    Orviston CDP, Pennsylvania","50","37","13"
"Orwigsburg borough, Pennsylvania","","",""
"    Orwigsburg borough, Pennsylvania","1,331","1,217","114"
"Orwin CDP, Pennsylvania","","",""
"    Orwin CDP, Pennsylvania","133","131","2"
"Osceola Mills borough, Pennsylvania","","",""
"    Osceola Mills borough, Pennsylvania","507","458","49"
"Oswayo borough, Pennsylvania","","",""
"    Oswayo borough, Pennsylvania","75","49","26"
"Oval CDP, Pennsylvania","","",""
"    Oval CDP, Pennsylvania","139","126","13"
"undefined","","",""
